                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2291,                 4.5795,                 4.1179,                  8e-05,                0.03846,                  6e-05,                  1e-05,                 4.6557,                 4.1639,                 3.8082,               0.070638,              0.0032624,              0.0032624
                      2,                 3.4719,                 3.6839,                 3.4314,                 0.0044,                0.19603,                0.05627,                0.02313,                 4.1051,                 3.6468,                  3.489,               0.040617,               0.006574,               0.006574
                      3,                 2.8116,                 3.1199,                 2.7907,                 0.6337,                  0.118,                0.08316,                0.03075,                  2.418,                 2.9754,                 2.4316,               0.010573,              0.0098635,              0.0098635
                      4,                 2.5198,                 2.6903,                  2.399,                0.69421,                0.18013,                0.15981,                 0.0688,                 2.3047,                 5.1053,                  2.274,               0.009901,               0.009901,               0.009901
                      5,                 2.3568,                 2.2456,                 2.1359,                0.63588,                0.13797,                0.08909,                 0.0326,                 2.4287,                 2.9036,                 2.3326,               0.009868,               0.009868,               0.009868
                      6,                 2.2173,                 2.0964,                 1.9984,                0.72679,                 0.2357,                0.29288,                0.12433,                 2.0683,                 2.0878,                 1.9637,               0.009835,               0.009835,               0.009835
                      7,                  2.043,                 1.8287,                 1.7916,                0.66005,                0.44483,                0.44665,                0.18868,                 1.8338,                 1.9305,                 1.7508,               0.009802,               0.009802,               0.009802
                      8,                 2.0208,                 1.7628,                 1.7741,                0.66243,                0.40804,                0.41109,                0.19814,                 1.8718,                 1.6594,                 1.7113,               0.009769,               0.009769,               0.009769
                      9,                 1.9598,                 1.6342,                 1.6901,                0.58271,                0.34207,                0.39694,                  0.189,                 1.8154,                 1.5428,                 1.7031,               0.009736,               0.009736,               0.009736
                     10,                 1.8427,                 1.5048,                 1.6265,                0.82568,                0.24364,                0.30806,                0.15766,                 1.7849,                 1.7751,                 1.6858,               0.009703,               0.009703,               0.009703
                     11,                 1.8628,                 1.4668,                 1.5865,                0.74822,                0.46198,                0.49368,                0.25641,                 1.7047,                 1.5331,                  1.592,                0.00967,                0.00967,                0.00967
                     12,                 1.7988,                 1.3903,                 1.5646,                0.83146,                0.42723,                0.48993,                0.25208,                 1.6833,                 1.4895,                 1.5706,               0.009637,               0.009637,               0.009637
                     13,                 1.7243,                 1.3066,                 1.5206,                0.82148,                0.41002,                0.49686,                0.27453,                 1.6124,                 1.2977,                 1.5268,               0.009604,               0.009604,               0.009604
                     14,                 1.7342,                 1.2465,                 1.4978,                0.91854,                0.39126,                0.49034,                0.24325,                 1.7226,                 1.3003,                 1.5802,               0.009571,               0.009571,               0.009571
                     15,                 1.6821,                 1.2171,                 1.4794,                 0.7434,                0.39632,                0.42244,                0.22008,                 1.7075,                 1.2622,                 1.5815,               0.009538,               0.009538,               0.009538
                     16,                 1.6449,                 1.1703,                 1.4699,                0.86839,                0.51513,                0.63147,                0.33993,                 1.4866,                 1.0266,                 1.4048,               0.009505,               0.009505,               0.009505
                     17,                 1.6765,                 1.1649,                 1.4465,                0.81158,                 0.5181,                0.61001,                 0.3466,                 1.5137,                 1.1603,                 1.4256,               0.009472,               0.009472,               0.009472
                     18,                 1.6014,                 1.1242,                 1.4259,                0.81898,                0.52702,                0.64611,                0.38953,                 1.4484,                 1.0567,                 1.3806,               0.009439,               0.009439,               0.009439
                     19,                 1.5923,                 1.0843,                 1.4058,                0.87928,                0.49022,                0.60739,                 0.3465,                 1.4328,                0.97304,                 1.3581,               0.009406,               0.009406,               0.009406
