                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2497,                 4.5971,                 4.1067,                0.00012,                0.05769,                  9e-05,                  2e-05,                 4.6722,                 4.1406,                 3.8159,               0.070638,              0.0032624,              0.0032624
                      2,                 3.5336,                 3.7406,                 3.5164,                0.00406,                0.15309,                0.04198,                0.00928,                 4.3264,                 3.7975,                 3.6313,               0.040617,               0.006574,               0.006574
                      3,                 2.8368,                  3.191,                 2.8601,                0.68776,                0.17588,                0.12801,                0.04231,                 2.6063,                 2.6457,                  2.512,               0.010573,              0.0098635,              0.0098635
                      4,                 2.5807,                 2.8894,                 2.4956,                0.01694,                0.01365,                0.00349,                0.00128,                 3.0855,                  4.295,                  3.343,               0.009901,               0.009901,               0.009901
                      5,                 2.4143,                 2.4407,                 2.1962,                0.74891,                0.16389,                  0.173,                0.07576,                 2.2247,                 4.0666,                 2.1134,               0.009868,               0.009868,               0.009868
                      6,                   2.28,                 2.2513,                 2.0752,                0.75022,                0.19864,                0.20843,                0.09487,                 2.0372,                 2.2443,                 1.9358,               0.009835,               0.009835,               0.009835
                      7,                 2.0966,                 1.9784,                  1.851,                0.79712,                0.26027,                 0.2811,                0.14107,                 1.8969,                 2.2315,                 1.8184,               0.009802,               0.009802,               0.009802
                      8,                 2.0515,                 1.8744,                 1.8286,                0.83741,                0.27928,                0.32057,                0.15358,                 1.9728,                 1.9879,                 1.8031,               0.009769,               0.009769,               0.009769
                      9,                  1.994,                 1.7086,                 1.7248,                0.86949,                0.31401,                0.39111,                0.19901,                 1.7687,                 1.5713,                 1.6439,               0.009736,               0.009736,               0.009736
                     10,                 1.8817,                 1.5548,                 1.6582,                 0.8619,                0.31531,                0.42102,                0.22598,                 1.6736,                 1.8623,                 1.6044,               0.009703,               0.009703,               0.009703
                     11,                 1.8905,                 1.5064,                 1.6035,                0.87262,                0.43011,                0.51151,                0.27192,                 1.6274,                 1.3402,                 1.5475,                0.00967,                0.00967,                0.00967
                     12,                 1.8147,                 1.4305,                 1.5863,                0.84475,                0.45914,                0.53057,                0.25501,                 1.7135,                 1.2693,                 1.5679,               0.009637,               0.009637,               0.009637
                     13,                 1.7522,                 1.3261,                 1.5352,                0.73166,                0.48463,                0.45384,                0.22147,                  1.758,                 1.4222,                 1.6244,               0.009604,               0.009604,               0.009604
                     14,                 1.7282,                 1.2656,                 1.5017,                0.88978,                0.49153,                0.55621,                0.31265,                 1.5083,                 1.1133,                 1.4319,               0.009571,               0.009571,               0.009571
