                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1914,                 4.6092,                   4.12,                0.00013,                0.05769,                  9e-05,                  2e-05,                 4.7482,                 4.2287,                 3.8816,               0.070638,              0.0032624,              0.0032624
                      2,                 3.4546,                 3.7132,                 3.3963,                  8e-05,                0.03846,                  6e-05,                  2e-05,                 4.4746,                 4.0323,                 3.6975,               0.040617,               0.006574,               0.006574
                      3,                 2.8377,                 3.2818,                 2.8444,                0.55058,                0.00884,                0.00861,                0.00305,                 3.5321,                 3.6284,                 3.3409,               0.010573,              0.0098635,              0.0098635
                      4,                 2.5782,                 2.8912,                 2.4805,                0.21686,                 0.1447,                0.12959,                0.04918,                 2.3785,                 2.6459,                 2.4487,               0.009901,               0.009901,               0.009901
                      5,                 2.3844,                 2.4297,                 2.1742,                0.68382,                0.25308,                0.17794,                0.07897,                 2.1401,                 3.0618,                 2.0568,               0.009868,               0.009868,               0.009868
                      6,                 2.2626,                 2.2526,                 2.0611,                0.72724,                0.10325,                0.12858,                0.05321,                 2.1083,                  2.497,                 1.9972,               0.009835,               0.009835,               0.009835
                      7,                 2.0613,                 1.9595,                 1.8421,                0.71543,                0.27258,                0.25582,                0.11222,                 2.0649,                 3.5204,                 1.9025,               0.009802,               0.009802,               0.009802
                      8,                 2.0451,                 1.8919,                 1.8258,                0.84275,                0.27822,                0.37203,                0.17075,                 1.9231,                  1.714,                 1.7645,               0.009769,               0.009769,               0.009769
                      9,                 1.9989,                  1.707,                 1.7239,                0.35535,                0.45073,                0.42309,                 0.2063,                 1.7876,                 1.7102,                 1.6627,               0.009736,               0.009736,               0.009736
                     10,                 1.8604,                 1.5502,                 1.6514,                0.65477,                 0.4374,                0.43934,                0.22328,                 1.6647,                 1.6727,                 1.5979,               0.009703,               0.009703,               0.009703
                     11,                 1.8855,                 1.5094,                 1.6055,                0.87668,                0.32199,                0.38463,                0.20432,                 1.7035,                 1.5123,                 1.6164,                0.00967,                0.00967,                0.00967
                     12,                 1.8249,                 1.4406,                 1.5861,                0.61969,                0.31502,                0.38191,                0.16758,                 2.0034,                 1.6312,                 1.7512,               0.009637,               0.009637,               0.009637
                     13,                 1.7552,                 1.3397,                 1.5347,                0.92762,                0.34668,                0.45247,                0.25502,                 1.5569,                 1.4828,                 1.4733,               0.009604,               0.009604,               0.009604
                     14,                  1.743,                 1.2701,                 1.5067,                 0.9052,                0.40926,                 0.4969,                0.27773,                 1.5361,                  1.231,                 1.4705,               0.009571,               0.009571,               0.009571
                     15,                 1.6951,                 1.2262,                 1.4896,                 0.8198,                0.46542,                0.49195,                0.24272,                 1.7419,                 1.2623,                  1.579,               0.009538,               0.009538,               0.009538
                     16,                 1.6484,                 1.1856,                 1.4776,                0.74011,                 0.4662,                0.49717,                0.26767,                  1.661,                 1.3123,                 1.5272,               0.009505,               0.009505,               0.009505
                     17,                 1.6717,                 1.1896,                 1.4462,                0.88467,                0.44821,                0.53476,                0.29489,                 1.5682,                 1.1314,                 1.4648,               0.009472,               0.009472,               0.009472
                     18,                 1.5994,                 1.1463,                 1.4261,                0.94173,                0.38064,                0.53681,                0.29123,                 1.5763,                 1.1613,                 1.4488,               0.009439,               0.009439,               0.009439
                     19,                 1.5949,                 1.1052,                 1.4054,                0.63969,                0.52279,                0.50017,                0.24747,                   1.66,                 1.1717,                  1.513,               0.009406,               0.009406,               0.009406
                     20,                 1.5506,                 1.0334,                 1.3723,                0.61011,                0.47679,                0.48509,                0.27591,                 1.5091,                 1.3511,                 1.4341,               0.009373,               0.009373,               0.009373
                     21,                 1.5211,                 1.0384,                 1.3641,                0.52883,                0.63311,                0.56766,                0.31886,                 1.5067,                 1.0427,                 1.3934,                0.00934,                0.00934,                0.00934
                     22,                 1.5475,                 1.0051,                 1.3479,                0.94692,                0.45504,                0.57333,                0.32909,                 1.4834,                 1.0361,                 1.4071,               0.009307,               0.009307,               0.009307
                     23,                 1.4845,                0.97984,                 1.3288,                0.75155,                0.56253,                0.60727,                 0.3382,                 1.5795,                 1.1483,                 1.4318,               0.009274,               0.009274,               0.009274
                     24,                 1.4731,                0.95637,                 1.3324,                0.59915,                0.64936,                0.64565,                0.34693,                 1.6152,                0.92361,                 1.4368,               0.009241,               0.009241,               0.009241
                     25,                 1.4826,                0.96353,                 1.3081,                0.72476,                 0.6066,                0.65429,                0.37926,                 1.3553,                0.93637,                   1.31,               0.009208,               0.009208,               0.009208
                     26,                 1.4523,                0.91126,                 1.3001,                0.81605,                0.57384,                0.63459,                0.35809,                 1.3668,                0.85574,                 1.3195,               0.009175,               0.009175,               0.009175
                     27,                 1.4382,                0.92148,                 1.3069,                 0.6445,                0.44523,                0.49248,                0.28332,                 1.5213,                 1.2168,                 1.4477,               0.009142,               0.009142,               0.009142
                     28,                 1.4158,                0.88354,                 1.2924,                0.74753,                0.55265,                0.61195,                0.34453,                 1.4299,                 1.0119,                 1.3571,               0.009109,               0.009109,               0.009109
                     29,                 1.4104,                0.88366,                 1.2615,                0.90657,                0.59202,                0.70688,                0.40805,                 1.3256,                0.81232,                 1.2936,               0.009076,               0.009076,               0.009076
                     30,                 1.4294,                0.91009,                 1.2971,                0.72754,                0.56378,                0.65358,                0.36854,                 1.4692,                  1.043,                 1.3969,               0.009043,               0.009043,               0.009043
                     31,                 1.3778,                0.86146,                 1.2586,                0.84411,                0.63312,                  0.766,                0.42843,                 1.3737,                0.81398,                 1.3189,                0.00901,                0.00901,                0.00901
                     32,                 1.3988,                0.88671,                 1.2735,                0.72184,                0.66339,                0.75329,                0.44635,                 1.3897,                0.82904,                 1.3134,               0.008977,               0.008977,               0.008977
                     33,                 1.3882,                0.84824,                 1.2654,                0.67704,                0.67879,                0.69081,                0.38736,                 1.4133,                0.78149,                 1.3337,               0.008944,               0.008944,               0.008944
                     34,                 1.3863,                0.83806,                 1.2566,                0.77818,                0.68737,                 0.7187,                0.41402,                 1.3073,                0.78732,                 1.2839,               0.008911,               0.008911,               0.008911
                     35,                 1.3372,                0.80789,                 1.2398,                0.77702,                0.82027,                0.79712,                0.45907,                 1.3135,                0.72696,                 1.2758,               0.008878,               0.008878,               0.008878
                     36,                 1.3728,                0.83692,                 1.2542,                0.70217,                0.71434,                0.72271,                0.42366,                 1.2903,                 0.7518,                 1.2661,               0.008845,               0.008845,               0.008845
                     37,                 1.3333,                0.81093,                 1.2459,                0.87667,                0.50463,                0.64815,                0.38827,                  1.285,                0.78377,                 1.2653,               0.008812,               0.008812,               0.008812
                     38,                 1.3174,                0.79818,                 1.2279,                0.94227,                0.63074,                0.74225,                0.44995,                 1.2827,                0.73932,                 1.2506,               0.008779,               0.008779,               0.008779
                     39,                 1.3152,                0.78429,                 1.2281,                0.91517,                0.66209,                0.77403,                0.46579,                 1.2729,                0.70787,                 1.2603,               0.008746,               0.008746,               0.008746
                     40,                 1.3058,                 0.7793,                 1.2175,                 0.6499,                0.76769,                0.77485,                0.43269,                 1.3447,                0.74871,                 1.3082,               0.008713,               0.008713,               0.008713
                     41,                 1.3082,                0.77919,                 1.2174,                0.84419,                0.69956,                0.77734,                0.44869,                 1.3133,                0.73814,                 1.2637,                0.00868,                0.00868,                0.00868
                     42,                 1.2829,                0.75486,                 1.1885,                0.76896,                0.70177,                 0.7436,                0.39884,                  1.545,                0.89818,                 1.4101,               0.008647,               0.008647,               0.008647
                     43,                 1.2627,                0.74229,                 1.2046,                0.91391,                0.80711,                0.87649,                0.51529,                 1.2707,                0.69229,                 1.2545,               0.008614,               0.008614,               0.008614
                     44,                 1.2807,                0.76249,                 1.1878,                0.83551,                0.67637,                0.79018,                0.47675,                 1.2593,                0.67778,                 1.2514,               0.008581,               0.008581,               0.008581
                     45,                  1.275,                0.75419,                 1.2087,                0.87268,                0.74997,                 0.8609,                0.49476,                 1.3054,                0.72574,                 1.2836,               0.008548,               0.008548,               0.008548
                     46,                 1.2909,                 0.7648,                 1.2025,                0.70991,                0.77507,                 0.7894,                0.47478,                 1.2628,                0.68483,                 1.2374,               0.008515,               0.008515,               0.008515
                     47,                 1.2443,                0.70874,                 1.1724,                0.68785,                0.79073,                0.78368,                0.49426,                 1.2486,                0.67411,                 1.2311,               0.008482,               0.008482,               0.008482
                     48,                 1.2882,                0.74445,                 1.2206,                0.87696,                0.69755,                0.81047,                0.50996,                 1.2633,                0.65266,                 1.2454,               0.008449,               0.008449,               0.008449
                     49,                 1.2459,                0.72803,                 1.1906,                0.75478,                0.85986,                  0.909,                0.52537,                 1.2664,                0.69238,                 1.2388,               0.008416,               0.008416,               0.008416
                     50,                 1.2404,                0.71234,                  1.179,                0.82313,                0.79065,                0.81716,                0.49105,                 1.2549,                0.67459,                 1.2405,               0.008383,               0.008383,               0.008383
                     51,                 1.2366,                0.71757,                 1.1772,                0.78835,                 0.7007,                0.76415,                0.45892,                 1.2872,                0.72482,                 1.2706,                0.00835,                0.00835,                0.00835
