                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2284,                 4.5126,                 4.1248,                0.00012,                0.05769,                 0.0001,                  2e-05,                 4.5512,                 4.1263,                 3.7157,               0.070638,              0.0032624,              0.0032624
                      2,                 3.5685,                 3.6402,                 3.5058,                0.00013,                0.05769,                  8e-05,                  2e-05,                 4.2773,                 3.8306,                 3.5254,               0.040617,               0.006574,               0.006574
                      3,                 2.8234,                 3.1289,                 2.8038,                0.00687,                0.21835,                 0.0118,                0.00419,                 2.8568,                 3.4988,                 2.8819,               0.010573,              0.0098635,              0.0098635
                      4,                 2.5254,                 2.6998,                 2.3782,                0.74101,                0.09312,                0.10794,                0.04241,                  2.393,                 2.8621,                 2.3901,               0.009901,               0.009901,               0.009901
                      5,                 2.3537,                 2.2469,                 2.0952,                0.66376,                0.16275,                0.10669,                0.04059,                 2.2806,                 2.6534,                 2.2033,               0.009868,               0.009868,               0.009868
                      6,                 2.2143,                 2.1392,                 1.9758,                0.71906,                 0.2566,                 0.3036,                0.12444,                 1.9763,                 1.9751,                 1.8469,               0.009835,               0.009835,               0.009835
                      7,                 2.0402,                 1.8643,                 1.7712,                0.81707,                0.26448,                0.28514,                0.13407,                 1.9395,                 1.9861,                 1.7888,               0.009802,               0.009802,               0.009802
                      8,                 2.0273,                 1.8135,                 1.7678,                0.81697,                 0.2563,                 0.3157,                0.15132,                 1.9834,                 2.4405,                 1.7956,               0.009769,               0.009769,               0.009769
                      9,                 1.9656,                 1.6661,                 1.6752,                0.89061,                0.30542,                0.43873,                0.22799,                  1.726,                 1.6868,                 1.6215,               0.009736,               0.009736,               0.009736
                     10,                 1.8687,                 1.5344,                 1.6264,                  0.736,                0.47691,                0.46986,                0.24349,                 1.7171,                 1.4769,                 1.6316,               0.009703,               0.009703,               0.009703
                     11,                 1.8598,                 1.4915,                 1.5756,                0.91086,                  0.358,                0.50373,                0.26199,                 1.6433,                 1.3338,                 1.5453,                0.00967,                0.00967,                0.00967
                     12,                 1.8142,                 1.4123,                 1.5731,                0.74798,                0.46455,                0.49009,                0.24648,                 1.7055,                 1.3858,                 1.5752,               0.009637,               0.009637,               0.009637
                     13,                 1.7295,                 1.3158,                 1.5119,                0.89569,                0.45599,                0.54482,                0.26528,                 1.6205,                 1.4408,                 1.5245,               0.009604,               0.009604,               0.009604
                     14,                 1.7151,                 1.2772,                  1.481,                0.91655,                 0.4617,                0.55644,                0.29168,                 1.5728,                 1.1902,                   1.47,               0.009571,               0.009571,               0.009571
                     15,                 1.6865,                 1.2229,                 1.4772,                0.87393,                0.54968,                  0.659,                0.34025,                 1.6486,                 1.1906,                 1.5134,               0.009538,               0.009538,               0.009538
                     16,                 1.6411,                 1.1956,                 1.4663,                0.76807,                0.58826,                0.60414,                 0.3484,                 1.5017,                 1.1304,                 1.4232,               0.009505,               0.009505,               0.009505
                     17,                 1.6533,                 1.1777,                 1.4307,                0.58127,                0.58586,                0.59965,                 0.3296,                   1.59,                 1.1426,                 1.4767,               0.009472,               0.009472,               0.009472
                     18,                 1.6091,                 1.1411,                 1.4232,                0.92178,                 0.3115,                0.38944,                0.20412,                   1.85,                 1.4123,                 1.6399,               0.009439,               0.009439,               0.009439
                     19,                 1.5828,                 1.0912,                 1.4017,                0.81715,                0.55004,                0.62991,                0.35088,                 1.4323,                0.98822,                 1.3715,               0.009406,               0.009406,               0.009406
                     20,                 1.5232,                 1.0248,                 1.3583,                0.59045,                0.49338,                0.57896,                0.29073,                 1.6175,                 1.1837,                 1.4996,               0.009373,               0.009373,               0.009373
                     21,                 1.5105,                 1.0295,                 1.3536,                 0.8733,                0.51939,                0.65205,                0.33144,                 1.6544,                 1.1153,                 1.5091,                0.00934,                0.00934,                0.00934
                     22,                 1.5537,                 1.0095,                 1.3509,                0.79235,                0.58251,                0.65882,                0.40182,                 1.3801,                 1.0067,                 1.3323,               0.009307,               0.009307,               0.009307
                     23,                 1.4858,                0.97358,                 1.3261,                0.49547,                0.42571,                0.45307,                0.22803,                 1.7161,                 1.4292,                 1.5506,               0.009274,               0.009274,               0.009274
                     24,                 1.4728,                0.96777,                 1.3283,                0.86372,                0.57008,                0.75512,                0.34877,                 1.7258,                 1.1428,                 1.5159,               0.009241,               0.009241,               0.009241
                     25,                 1.4721,                0.98382,                 1.3075,                0.88576,                0.52963,                0.60886,                0.37479,                 1.3462,                0.96574,                 1.3136,               0.009208,               0.009208,               0.009208
                     26,                 1.4471,                0.91543,                 1.2968,                0.64173,                0.63385,                0.69084,                0.38936,                 1.3705,                  0.871,                  1.314,               0.009175,               0.009175,               0.009175
                     27,                 1.4505,                0.92825,                 1.3066,                0.96136,                0.52026,                0.65836,                0.38261,                 1.3703,                 1.0044,                 1.3379,               0.009142,               0.009142,               0.009142
                     28,                 1.4167,                0.88747,                 1.2912,                 0.5735,                0.72893,                0.71848,                 0.4209,                 1.3322,                0.88475,                 1.3022,               0.009109,               0.009109,               0.009109
                     29,                 1.4264,                0.88914,                 1.2725,                0.90278,                0.58747,                0.69881,                 0.4082,                 1.3439,                0.83241,                 1.3118,               0.009076,               0.009076,               0.009076
                     30,                 1.4302,                0.90931,                 1.3008,                0.89175,                0.59424,                0.71413,                0.41431,                 1.3466,                0.84318,                 1.2978,               0.009043,               0.009043,               0.009043
                     31,                 1.3899,                0.87175,                 1.2662,                0.71425,                0.66043,                0.74498,                0.44086,                 1.3506,                0.81459,                 1.2901,                0.00901,                0.00901,                0.00901
                     32,                 1.4085,                0.89578,                 1.2739,                0.70142,                0.72581,                0.77902,                0.44636,                 1.3734,                0.82505,                 1.3077,               0.008977,               0.008977,               0.008977
                     33,                 1.3938,                0.85461,                 1.2698,                0.90104,                0.63988,                0.75527,                0.43233,                 1.4054,                0.80628,                 1.3362,               0.008944,               0.008944,               0.008944
                     34,                 1.3892,                0.84977,                 1.2576,                0.62089,                0.67141,                0.73114,                0.40837,                 1.3299,                0.81365,                 1.2867,               0.008911,               0.008911,               0.008911
                     35,                 1.3539,                0.82202,                 1.2481,                0.97095,                0.64291,                0.75543,                0.45671,                 1.2931,                0.77218,                 1.2748,               0.008878,               0.008878,               0.008878
                     36,                  1.383,                0.84813,                 1.2616,                0.96078,                0.57231,                0.71007,                0.42225,                 1.4311,                0.81931,                 1.3174,               0.008845,               0.008845,               0.008845
                     37,                 1.3376,                0.82597,                 1.2558,                 0.8158,                0.66775,                0.78633,                0.44822,                 1.2953,                0.82842,                 1.2837,               0.008812,               0.008812,               0.008812
                     38,                 1.3419,                0.81843,                  1.243,                0.78038,                0.72288,                0.80327,                0.48963,                 1.2548,                0.70723,                  1.244,               0.008779,               0.008779,               0.008779
                     39,                 1.3314,                 0.7962,                 1.2356,                0.76869,                0.77161,                0.81423,                0.48662,                 1.2387,                0.72945,                 1.2412,               0.008746,               0.008746,               0.008746
                     40,                 1.3086,                0.78785,                 1.2203,                0.81796,                0.68641,                0.75719,                0.42485,                 1.3167,                 0.7563,                 1.2753,               0.008713,               0.008713,               0.008713
                     41,                 1.3074,                0.78673,                 1.2179,                0.85741,                 0.6953,                0.75193,                0.43567,                 1.3897,                0.74464,                 1.3002,                0.00868,                0.00868,                0.00868
                     42,                 1.3017,                0.76084,                 1.1989,                0.69031,                0.74691,                 0.7482,                 0.4589,                 1.3329,                0.75894,                 1.2801,               0.008647,               0.008647,               0.008647
                     43,                 1.2704,                0.75708,                 1.2099,                0.78057,                0.75898,                0.78021,                0.48787,                 1.2585,                0.71028,                 1.2575,               0.008614,               0.008614,               0.008614
                     44,                 1.2747,                0.75374,                 1.1851,                0.83493,                0.71701,                0.82615,                0.48257,                 1.2716,                0.68014,                 1.2589,               0.008581,               0.008581,               0.008581
                     45,                 1.2942,                0.75669,                 1.2176,                0.80008,                0.74625,                0.79038,                0.48221,                  1.311,                0.70075,                 1.2552,               0.008548,               0.008548,               0.008548
                     46,                 1.2988,                0.76173,                 1.2069,                0.79293,                0.76184,                0.83008,                0.50687,                 1.2023,                0.67979,                 1.2153,               0.008515,               0.008515,               0.008515
                     47,                 1.2516,                0.71786,                 1.1764,                0.86585,                0.70458,                0.80046,                0.48994,                 1.2237,                0.70553,                  1.221,               0.008482,               0.008482,               0.008482
                     48,                 1.2873,                0.74956,                 1.2195,                 0.7851,                0.84841,                 0.8184,                 0.5142,                 1.2696,                0.68787,                  1.237,               0.008449,               0.008449,               0.008449
                     49,                  1.254,                0.73361,                 1.1949,                0.63388,                0.84122,                0.85384,                0.49864,                  1.324,                0.79078,                 1.2547,               0.008416,               0.008416,               0.008416
                     50,                 1.2395,                0.71398,                 1.1776,                0.73389,                0.82475,                0.84841,                0.51332,                 1.2461,                0.67906,                 1.2395,               0.008383,               0.008383,               0.008383
                     51,                 1.2483,                 0.7168,                 1.1858,                0.67426,                0.79865,                0.79057,                0.51465,                 1.2442,                0.69128,                 1.2267,                0.00835,                0.00835,                0.00835
                     52,                 1.2322,                0.70536,                 1.1643,                0.66501,                0.72644,                0.73797,                0.48139,                 1.2928,                0.69234,                 1.2522,               0.008317,               0.008317,               0.008317
                     53,                 1.2332,                0.70913,                 1.1816,                0.93659,                0.72458,                0.85032,                0.50926,                 1.2067,                0.66513,                 1.2129,               0.008284,               0.008284,               0.008284
                     54,                 1.2681,                0.72201,                  1.192,                 0.8919,                0.69934,                0.81133,                0.49899,                 1.2703,                0.71659,                 1.2389,               0.008251,               0.008251,               0.008251
                     55,                 1.2504,                0.71373,                 1.1672,                0.81087,                0.80374,                0.82086,                0.53249,                 1.1943,                0.65485,                 1.1977,               0.008218,               0.008218,               0.008218
                     56,                 1.2389,                0.69048,                  1.146,                0.88999,                0.83898,                0.88224,                0.53427,                 1.2169,                0.65161,                 1.2048,               0.008185,               0.008185,               0.008185
                     57,                 1.2049,                0.68233,                 1.1713,                0.93046,                0.70115,                0.79974,                0.50133,                 1.2046,                0.66619,                  1.216,               0.008152,               0.008152,               0.008152
                     58,                 1.2363,                0.68874,                 1.1642,                0.83272,                0.79591,                0.85405,                0.52797,                 1.2387,                0.63632,                 1.2192,               0.008119,               0.008119,               0.008119
                     59,                 1.2181,                0.68515,                 1.1577,                0.79417,                0.84663,                0.89487,                 0.5447,                 1.2396,                0.62522,                 1.2301,               0.008086,               0.008086,               0.008086
                     60,                 1.2112,                0.67195,                 1.1568,                0.79785,                0.87652,                0.85164,                 0.5253,                 1.1718,                0.61686,                 1.1904,               0.008053,               0.008053,               0.008053
                     61,                 1.2239,                0.68136,                 1.1694,                0.78178,                0.83065,                0.83995,                0.50826,                 1.2923,                0.68831,                 1.2381,                0.00802,                0.00802,                0.00802
                     62,                 1.2046,                0.67387,                 1.1537,                0.91323,                0.70224,                 0.8147,                0.51486,                 1.2234,                0.65316,                 1.2183,               0.007987,               0.007987,               0.007987
                     63,                 1.1961,                0.66945,                 1.1485,                0.81759,                0.83603,                0.87794,                0.53048,                 1.1893,                0.61493,                 1.1987,               0.007954,               0.007954,               0.007954
                     64,                 1.1771,                0.65949,                 1.1342,                0.86828,                0.84695,                 0.9081,                0.55435,                 1.1798,                0.59574,                 1.1875,               0.007921,               0.007921,               0.007921
                     65,                 1.1883,                0.66074,                 1.1411,                0.78847,                0.86612,                0.87173,                0.53876,                 1.1809,                0.61889,                 1.1984,               0.007888,               0.007888,               0.007888
                     66,                 1.1788,                0.64016,                 1.1172,                0.85509,                0.92283,                0.92873,                0.56469,                 1.2276,                0.63616,                 1.2035,               0.007855,               0.007855,               0.007855
                     67,                 1.1937,                0.66893,                 1.1515,                0.84904,                0.81529,                0.88137,                0.57167,                 1.1696,                 0.5932,                 1.1806,               0.007822,               0.007822,               0.007822
                     68,                 1.1666,                0.65529,                 1.1585,                 0.8479,                0.76431,                0.84413,                 0.5222,                 1.2212,                0.61508,                 1.2351,               0.007789,               0.007789,               0.007789
                     69,                 1.1683,                0.64717,                 1.1316,                0.74063,                0.85753,                0.84203,                0.52578,                 1.2285,                0.66505,                 1.2141,               0.007756,               0.007756,               0.007756
                     70,                 1.1683,                0.63738,                 1.1384,                0.76195,                0.84099,                0.81354,                0.51897,                 1.2153,                 0.6289,                 1.2138,               0.007723,               0.007723,               0.007723
                     71,                  1.157,                0.62947,                 1.1347,                0.92436,                0.86251,                0.93301,                 0.5813,                 1.1576,                0.59893,                 1.1833,                0.00769,                0.00769,                0.00769
                     72,                 1.1585,                0.63469,                 1.1153,                0.86309,                0.80196,                0.86978,                0.55405,                 1.1642,                0.58593,                  1.181,               0.007657,               0.007657,               0.007657
                     73,                 1.1398,                0.62654,                 1.1225,                0.86434,                0.83169,                0.88931,                0.55802,                  1.167,                0.58027,                 1.1903,               0.007624,               0.007624,               0.007624
                     74,                 1.1832,                0.64054,                 1.1354,                0.87149,                0.87346,                0.92099,                0.59697,                 1.1805,                0.59144,                 1.1865,               0.007591,               0.007591,               0.007591
                     75,                 1.1597,                0.63319,                 1.1219,                0.82656,                 0.8158,                0.87646,                0.52892,                 1.2003,                0.61526,                 1.2099,               0.007558,               0.007558,               0.007558
                     76,                 1.1517,                0.63615,                 1.1361,                0.86773,                0.86784,                0.89527,                0.54297,                 1.2021,                0.59267,                 1.2175,               0.007525,               0.007525,               0.007525
                     77,                 1.1485,                0.64375,                 1.1408,                0.86299,                0.81405,                0.87124,                0.55286,                 1.1725,                0.59405,                 1.1985,               0.007492,               0.007492,               0.007492
                     78,                 1.1704,                0.64084,                 1.1211,                0.85539,                0.78179,                0.84473,                 0.5311,                 1.2818,                0.61954,                 1.2375,               0.007459,               0.007459,               0.007459
                     79,                 1.1394,                0.61716,                 1.1181,                0.87643,                0.83615,                0.89804,                0.56896,                 1.2059,                0.60825,                  1.199,               0.007426,               0.007426,               0.007426
                     80,                 1.1321,                0.60595,                 1.1098,                0.88707,                0.82087,                0.88166,                0.54293,                  1.185,                0.60899,                 1.1934,               0.007393,               0.007393,               0.007393
                     81,                 1.1458,                0.61416,                  1.113,                0.89682,                0.86945,                0.92189,                0.58931,                 1.1684,                0.58255,                 1.1888,                0.00736,                0.00736,                0.00736
                     82,                 1.1518,                0.62744,                  1.122,                0.84751,                0.87177,                 0.8938,                0.57387,                  1.146,                0.60828,                 1.1745,               0.007327,               0.007327,               0.007327
                     83,                  1.132,                0.61122,                 1.1225,                0.87018,                0.80029,                0.84884,                  0.539,                 1.2028,                0.58666,                 1.2018,               0.007294,               0.007294,               0.007294
                     84,                 1.1444,                0.61782,                  1.106,                0.84525,                0.85294,                0.90761,                 0.5753,                 1.1517,                 0.5806,                  1.173,               0.007261,               0.007261,               0.007261
                     85,                   1.11,                0.60328,                 1.1167,                0.93373,                0.87132,                0.93634,                 0.5733,                 1.1479,                0.59083,                 1.1745,               0.007228,               0.007228,               0.007228
                     86,                 1.1214,                0.60786,                 1.1033,                0.92268,                0.84875,                0.91012,                0.55927,                 1.1833,                0.57199,                 1.1878,               0.007195,               0.007195,               0.007195
                     87,                 1.1215,                0.60739,                 1.1221,                0.90327,                0.82427,                0.91463,                0.58406,                  1.168,                 0.5616,                  1.185,               0.007162,               0.007162,               0.007162
                     88,                 1.1463,                0.61972,                 1.1156,                 0.7803,                0.83466,                0.84238,                0.52293,                 1.1983,                0.58927,                 1.1915,               0.007129,               0.007129,               0.007129
                     89,                 1.1268,                0.61635,                 1.1173,                0.90298,                0.87615,                0.92942,                0.59322,                 1.1528,                0.57771,                 1.1753,               0.007096,               0.007096,               0.007096
                     90,                 1.1405,                 0.6068,                 1.1092,                0.87852,                0.84651,                0.91937,                0.58097,                 1.1773,                0.59339,                  1.197,               0.007063,               0.007063,               0.007063
                     91,                 1.0975,                0.58874,                 1.0967,                0.94079,                  0.886,                0.93643,                0.56958,                 1.1824,                0.57401,                 1.1946,                0.00703,                0.00703,                0.00703
                     92,                 1.1021,                0.59473,                 1.1024,                0.88021,                0.83183,                0.90935,                0.58653,                 1.1288,                0.57481,                 1.1627,               0.006997,               0.006997,               0.006997
                     93,                 1.1018,                 0.5918,                 1.0867,                0.85503,                0.87214,                0.93196,                0.56259,                 1.1667,                0.58635,                 1.1887,               0.006964,               0.006964,               0.006964
                     94,                 1.1102,                0.59503,                 1.0935,                0.85882,                0.85147,                 0.9299,                0.58371,                 1.1476,                0.55807,                  1.183,               0.006931,               0.006931,               0.006931
                     95,                 1.1005,                0.57637,                 1.1018,                0.82489,                0.90064,                0.90624,                0.58856,                 1.1496,                0.54834,                 1.1686,               0.006898,               0.006898,               0.006898
                     96,                 1.1104,                0.58619,                 1.0964,                0.92477,                0.88544,                0.93701,                0.57827,                 1.1501,                 0.5514,                  1.178,               0.006865,               0.006865,               0.006865
                     97,                 1.0658,                0.57308,                 1.0908,                0.86264,                0.90812,                0.93347,                0.58027,                 1.1268,                0.54213,                 1.1693,               0.006832,               0.006832,               0.006832
                     98,                 1.0859,                0.58497,                 1.0872,                0.91809,                 0.8766,                0.92464,                0.59471,                 1.1181,                0.54304,                 1.1552,               0.006799,               0.006799,               0.006799
                     99,                 1.1223,                0.59654,                 1.0911,                0.89908,                0.88437,                0.92157,                 0.5804,                 1.1159,                 0.5376,                 1.1543,               0.006766,               0.006766,               0.006766
                    100,                 1.1029,                0.58672,                 1.0881,                0.91074,                0.88844,                0.92047,                0.59076,                 1.1989,                0.56352,                 1.1925,               0.006733,               0.006733,               0.006733
                    101,                 1.0869,                0.57178,                 1.0912,                0.97536,                0.82779,                0.92349,                0.58478,                 1.1249,                0.54439,                 1.1675,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.0774,                0.56241,                 1.0776,                0.94731,                 0.8472,                0.93187,                0.57513,                 1.1273,                0.53678,                 1.1779,               0.006667,               0.006667,               0.006667
                    103,                 1.0805,                0.56544,                 1.0766,                0.81263,                 0.8003,                 0.8168,                0.55071,                 1.1464,                0.53711,                 1.1751,               0.006634,               0.006634,               0.006634
                    104,                 1.0813,                0.57282,                 1.0918,                0.85119,                0.85427,                0.90619,                0.59514,                 1.1477,                0.54623,                 1.1636,               0.006601,               0.006601,               0.006601
                    105,                 1.0854,                0.57213,                 1.0744,                 0.8907,                0.93308,                0.91923,                0.59457,                 1.1523,                0.58624,                 1.1742,               0.006568,               0.006568,               0.006568
                    106,                 1.0575,                0.56452,                 1.0924,                0.89115,                0.85532,                0.93467,                0.58144,                 1.1042,                0.55928,                 1.1513,               0.006535,               0.006535,               0.006535
                    107,                 1.0528,                0.56623,                 1.0946,                0.80135,                0.88669,                0.90209,                0.56873,                 1.1565,                0.54037,                 1.1708,               0.006502,               0.006502,               0.006502
                    108,                 1.0681,                0.56082,                 1.0738,                0.89542,                 0.8221,                0.91172,                 0.5545,                 1.1674,                0.54629,                 1.1753,               0.006469,               0.006469,               0.006469
                    109,                 1.0837,                0.55538,                 1.0786,                0.96277,                0.87972,                0.94922,                0.58626,                 1.1525,                0.53947,                 1.1905,               0.006436,               0.006436,               0.006436
                    110,                 1.0422,                0.55561,                 1.0716,                0.80876,                0.87175,                0.87035,                0.57565,                  1.129,                0.54541,                 1.1574,               0.006403,               0.006403,               0.006403
                    111,                 1.0682,                0.56196,                 1.0798,                0.94996,                0.83655,                0.90818,                0.58239,                 1.1221,                0.55704,                 1.1627,                0.00637,                0.00637,                0.00637
                    112,                 1.0776,                0.56194,                 1.0837,                0.88493,                0.86976,                0.91377,                0.58435,                 1.1201,                0.53198,                 1.1643,               0.006337,               0.006337,               0.006337
                    113,                 1.0466,                0.54983,                 1.0652,                0.88414,                 0.9078,                0.94037,                0.58601,                 1.1279,                0.51517,                  1.171,               0.006304,               0.006304,               0.006304
                    114,                 1.0407,                0.54667,                 1.0736,                0.92435,                0.90452,                0.93524,                0.57128,                 1.1823,                0.55812,                 1.1955,               0.006271,               0.006271,               0.006271
                    115,                 1.0476,                0.54809,                 1.0663,                0.92466,                0.90488,                0.93803,                0.59299,                 1.1353,                0.52772,                 1.1778,               0.006238,               0.006238,               0.006238
                    116,                 1.0914,                0.57322,                 1.0691,                0.91964,                0.92448,                0.94933,                0.59933,                 1.1412,                0.54182,                 1.1912,               0.006205,               0.006205,               0.006205
                    117,                 1.0433,                0.55226,                  1.075,                0.89875,                0.91398,                0.93929,                0.59192,                 1.1328,                 0.5239,                 1.1829,               0.006172,               0.006172,               0.006172
                    118,                 1.0867,                0.56651,                 1.0792,                0.92046,                0.89856,                0.94333,                 0.5706,                 1.1602,                0.58711,                 1.1885,               0.006139,               0.006139,               0.006139
                    119,                 1.0568,                0.54836,                 1.0725,                0.93598,                0.83841,                0.91458,                0.58746,                  1.124,                 0.5255,                 1.1615,               0.006106,               0.006106,               0.006106
                    120,                 1.0557,                 0.5465,                 1.0694,                0.92962,                0.85545,                0.91691,                0.58284,                 1.1439,                0.53219,                  1.176,               0.006073,               0.006073,               0.006073
                    121,                 1.0642,                0.55329,                 1.0722,                0.93319,                 0.8522,                0.91574,                0.58293,                 1.1594,                0.52565,                 1.1903,                0.00604,                0.00604,                0.00604
                    122,                 1.0632,                0.54778,                 1.0733,                0.94674,                0.85977,                0.91962,                0.55681,                 1.1708,                0.53298,                 1.1879,               0.006007,               0.006007,               0.006007
                    123,                 1.0238,                0.53112,                 1.0604,                0.85709,                0.83372,                0.88529,                0.56793,                 1.1493,                 0.5433,                 1.1776,               0.005974,               0.005974,               0.005974
                    124,                 1.0478,                0.54935,                 1.0744,                0.87948,                 0.8674,                0.90292,                 0.5779,                 1.1384,                0.51059,                 1.1701,               0.005941,               0.005941,               0.005941
                    125,                 1.0394,                0.53753,                 1.0714,                0.85829,                0.90209,                0.93781,                0.59629,                 1.1383,                0.52059,                 1.1727,               0.005908,               0.005908,               0.005908
                    126,                 1.0355,                0.53513,                 1.0591,                0.91697,                0.80814,                0.86423,                0.53713,                 1.1488,                0.54983,                 1.1854,               0.005875,               0.005875,               0.005875
                    127,                 1.0286,                0.53371,                 1.0584,                0.91326,                0.83987,                0.90068,                0.55846,                 1.1769,                0.54208,                 1.1934,               0.005842,               0.005842,               0.005842
                    128,                  1.058,                0.54169,                  1.059,                 0.9126,                0.84335,                0.92155,                0.57788,                 1.1509,                 0.5594,                 1.1757,               0.005809,               0.005809,               0.005809
                    129,                 1.0285,                0.54628,                 1.0715,                0.87429,                0.86871,                0.92674,                0.57176,                 1.1575,                0.52847,                 1.1784,               0.005776,               0.005776,               0.005776
                    130,                 1.0394,                0.53794,                 1.0671,                0.93678,                0.90529,                0.93015,                0.58363,                 1.1228,                0.50515,                 1.1635,               0.005743,               0.005743,               0.005743
                    131,                 1.0212,                0.52788,                 1.0561,                 0.9057,                0.90314,                0.94677,                0.61437,                 1.1141,                0.52162,                 1.1582,                0.00571,                0.00571,                0.00571
                    132,                 1.0159,                0.52622,                 1.0565,                0.89679,                0.87303,                0.92204,                0.59334,                 1.1314,                0.51702,                 1.1701,               0.005677,               0.005677,               0.005677
                    133,                 1.0215,                0.53629,                 1.0634,                  0.871,                0.91145,                0.91883,                0.59946,                 1.1346,                 0.5261,                 1.1737,               0.005644,               0.005644,               0.005644
                    134,                 1.0419,                0.53482,                  1.064,                0.92488,                0.92402,                0.94508,                 0.6123,                 1.1237,                0.51583,                 1.1586,               0.005611,               0.005611,               0.005611
